docId,Date,top topics,Percentage it appears,,,,,,,,,,,,,,,,,,,,
1,1840,2,0.363,7,0.197,24,0.121,9,0.092,19,0.053,,,,,,,,,,,,
2,1845,3,0.273,2,0.15,7,0.113,9,0.112,14,0.078,24,0.06,,,,,,,,,,
3,1846,22,0.122,18,0.103,4,0.098,8,0.091,12,0.084,5,0.075,10,0.06,15,0.059,6,0.059,13,0.057,23,0.054
4,1847,2,0.204,20,0.151,7,0.121,19,0.119,24,0.112,9,0.107,1,0.054,,,,,,,,
5,1848,11,0.234,21,0.179,2,0.175,7,0.121,,,,,,,,,,,,,,
,1840,7,0.197,,,,,,,,,,,,,,,,,,,,
,1845,2,0.15,,,,,,,,,,,,,,,,,,,,
,1846,18,0.103,,,,,,,,,,,,,,,,,,,,
,1847,20,0.151,,,,,,,,,,,,,,,,,,,,
,1848,21,0.179,,,,,,,,,,,,,,,,,,,,
,1840,24,0.121,,,,,,,,,,,,,,,,,,,,
,1845,7,0.113,,,,,,,,,,,,,,,,,,,,
,1846,4,0.098,,,,,,,,,,,,,,,,,,,,
,1847,7,0.121,,,,,,,,,,,,,,,,,,,,
,1848,2,0.175,,,,,,,,,,,,,,,,,,,,
,1840,9,0.092,,,,,,,,,,,,,,,,,,,,
,1845,9,0.112,,,,,,,,,,,,,,,,,,,,
,1846,8,0.091,,,,,,,,,,,,,,,,,,,,
,1847,19,0.119,,,,,,,,,,,,,,,,,,,,
,1848,7,0.121,,,,,,,,,,,,,,,,,,,,
