docId,Date,top topics,Percetage it appears,,,,,,,,,,,,,,
1,1864.2,25,0.399,19,0.209,11,0.07,16,0.069,1,0.067,21,0.059,,,,
2,1864,3,0.191,20,0.187,12,0.144,8,0.084,16,0.069,11,0.067,,,,
3,1867,23,0.195,18,0.141,14,0.116,6,0.116,9,0.084,21,0.08,15,0.057,22,0.055
4,1868,5,0.467,7,0.232,11,0.19,,,,,,,,,,
5,1869.2,11,0.396,17,0.243,19,0.11,16,0.059,,,,,,,,
6,1869,13,0.199,4,0.111,10,0.109,24,0.105,2,0.092,22,0.087,8,0.068,1,0.056
,1864.2,19,0.209,,,,,,,,,,,,,,
,1864,20,0.187,,,,,,,,,,,,,,
,1867,18,0.141,,,,,,,,,,,,,,
,1868,7,0.232,,,,,,,,,,,,,,
,1869.2,17,0.243,,,,,,,,,,,,,,
,1869,4,0.111,,,,,,,,,,,,,,
,1864.2,11,0.07,,,,,,,,,,,,,,
,1864,12,0.144,,,,,,,,,,,,,,
,1867,14,0.116,,,,,,,,,,,,,,
,1868,11,0.19,,,,,,,,,,,,,,
,1869.2,19,0.11,,,,,,,,,,,,,,
,1869,10,0.109,,,,,,,,,,,,,,
