docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,
1,1911.2,16,0.329,17,0.213,24,0.155,9,0.093,1,0.058,13,0.057,,,,
2,1911,11,0.172,10,0.147,19,0.132,2,0.1,12,0.086,23,0.075,14,0.063,5,0.055
3,1912,7,0.619,6,0.187,,,,,,,,,,,,
4,1913,20,0.197,24,0.18,6,0.133,16,0.085,5,0.079,17,0.063,9,0.056,,
5,1914.2,16,0.377,17,0.194,9,0.112,1,0.098,24,0.087,,,,,,
6,1914,24,0.394,17,0.334,8,0.145,,,,,,,,,,
7,1915,22,0.355,9,0.137,24,0.082,25,0.062,6,0.062,15,0.059,5,0.056,,
8,1917,3,0.852,,,,,,,,,,,,,,
9,1918,18,0.584,17,0.222,8,0.052,,,,,,,,,,
10,1919.2,17,0.421,13,0.321,,,,,,,,,,,,
11,1919.3,16,0.304,17,0.207,9,0.168,24,0.11,1,0.108,5,0.054,,,,
12,1919,21,0.416,4,0.256,1,0.132,17,0.093,,,,,,,,
13,1922,15,0.283,17,0.159,14,0.119,16,0.087,,,,,,,,
