docId,date,top topics, percentage in doc,secondary topic,percentage in doc,,,,,,,,,,,,
1,1803.2,11,63%,21,0.148,12,0.086,19,0.052,,,,,,,,
2,1803,12,57%,15,0.246,25,0.103,,,,,,,,,,
3,1805,11,49%,21,0.17,12,0.077,19,0.06,8,0.054,10,0.05,,,,
4,1808,11,44%,24,0.195,21,0.144,19,0.057,,,,,,,,
5,1827,10,31%,6,0.133,14,0.117,11,0.101,21,0.09,23,0.059,1,0.052,,
6,1830,11,15%,14,0.131,6,0.124,10,0.117,7,0.091,24,0.088,8,0.085,1,0.081
7,1831,24,21%,11,0.198,21,0.166,10,0.099,1,0.063,8,0.06,19,0.058,,
8,1832.2,19,33%,24,0.243,21,0.157,11,0.136,16,0.07,,,,,,
9,1832,11,34%,21,0.307,12,0.101,19,0.078,24,0.06,,,,,,
10,1838,11,42%,24,0.169,19,0.113,21,0.101,12,0.073,,,,,,
11,1839,11,23%,14,0.165,7,0.128,24,0.081,8,0.078,21,0.069,10,0.066,,
12,1840,19,31%,11,0.268,21,0.123,24,0.114,8,0.056,,,,,,
13,1845,24,26%,11,0.165,1,0.122,10,0.107,21,0.084,8,0.062,19,0.05,,
14,1846,7,72%,14,0.251,,,,,,,,,,,,
15,1847,19,39%,11,0.142,10,0.106,16,0.098,21,0.085,24,0.056,,,,
16,1848,11,38%,23,0.101,10,0.1,21,0.094,12,0.078,14,0.064,6,0.064,,
17,1850,24,21%,14,0.119,11,0.105,10,0.103,23,0.083,8,0.073,7,0.056,,
18,1852,11,35%,21,0.125,12,0.104,19,0.082,8,0.056,,,,,,
19,1857.2,11,26%,21,0.171,12,0.134,8,0.076,10,0.066,19,0.057,,,,
20,1857,24,33%,11,0.202,21,0.156,19,0.102,12,0.059,8,0.051,,,,
21,1864.2,21,54%,19,0.112,24,0.053,,,,,,,,,,
22,1864,1,54%,14,0.091,10,0.089,20,0.054,,,,,,,,
23,1867,20,56%,17,0.135,7,0.06,,,,,,,,,,
24,1868,12,58%,8,0.138,21,0.064,24,0.05,,,,,,,,
25,1869.2,24,32%,11,0.193,10,0.132,1,0.118,19,0.082,,,,,,
26,1869,23,37%,14,0.282,7,0.091,10,0.089,6,0.072,,,,,,
27,1870,24,25%,11,0.17,19,0.09,8,0.082,21,0.065,10,0.063,12,0.051,,
28,1873.2,24,49%,3,0.126,18,0.08,19,0.054,22,0.053,,,,,,
29,1873,24,15%,19,0.123,3,0.121,16,0.119,11,0.096,8,0.073,10,0.057,,
30,1875,16,22%,6,0.126,24,0.118,3,0.11,11,0.087,19,0.075,,,,
31,1877.2,24,41%,3,0.114,11,0.09,19,0.075,8,0.059,,,,,,
32,1877.3,16,22%,12,0.131,8,0.107,24,0.099,25,0.058,5,0.055,,,,
33,1877,24,23%,10,0.174,8,0.126,3,0.095,1,0.063,19,0.056,,,,
34,1881,24,52%,9,0.102,19,0.078,11,0.055,,,,,,,,
35,1882,16,25%,24,0.169,9,0.142,12,0.123,8,0.122,4,0.054,,,,
36,1884,13,19%,16,0.173,9,0.131,8,0.088,12,0.066,24,0.055,,,,
37,1885.2,9,16%,8,0.16,10,0.125,16,0.124,12,0.096,19,0.084,5,0.054,,
38,1885,24,38%,11,0.104,19,0.09,3,0.082,8,0.075,12,0.067,,,,
39,1886,18,65%,24,0.135,3,0.089,8,0.076,,,,,,,,
40,1887,3,33%,8,0.261,24,0.15,4,0.09,19,0.077,,,,,,
41,1889,24,33%,22,0.222,19,0.112,3,0.097,5,0.077,,,,,,
42,1890,13,29%,14,0.16,5,0.099,7,0.084,22,0.069,,,,,,
43,1892,13,56%,10,0.062,14,0.062,,,,,,,,,,
44,1893,18,37%,24,0.209,22,0.14,16,0.052,,,,,,,,
45,1894,25,71%,12,0.091,,,,,,,,,,,,
46,1896.2,22,42%,16,0.151,13,0.132,9,0.069,8,0.062,,,,,,
47,1896.3,5,52%,12,0.142,19,0.087,24,0.06,,,,,,,,
48,1896,9,31%,8,0.148,13,0.074,19,0.071,10,0.07,5,0.065,12,0.059,,
49,1897,24,20%,5,0.167,12,0.127,22,0.093,19,0.08,10,0.053,,,,
50,1901,22,65%,24,0.082,,,,,,,,,,,,
51,1902.2,12,23%,5,0.169,22,0.131,11,0.073,9,0.067,19,0.061,24,0.06,,
52,1902,9,44%,13,0.12,12,0.115,16,0.075,,,,,,,,
53,1903,25,27%,24,0.153,17,0.146,9,0.07,15,0.056,,,,,,
54,1904.2,13,37%,22,0.265,14,0.095,16,0.079,,,,,,,,
55,1904,24,42%,22,0.316,19,0.054,,,,,,,,,,
56,1905,22,35%,18,0.236,24,0.227,,,,,,,,,,
57,1909.2,22,46%,24,0.173,8,0.071,9,0.07,,,,,,,,
58,1909.3,22,30%,18,0.222,24,0.132,9,0.066,,,,,,,,
59,1909,22,41%,3,0.158,18,0.094,21,0.088,,,,,,,,
60,1911.2,22,38%,24,0.188,9,0.103,8,0.076,12,0.055,,,,,,
61,1911,2,45%,17,0.213,20,0.068,,,,,,,,,,
62,1912,6,68%,10,0.084,22,0.064,,,,,,,,,,
63,1913,24,15%,19,0.117,10,0.104,6,0.104,22,0.097,8,0.065,3,0.053,,
64,1914.2,22,50%,24,0.22,8,0.068,,,,,,,,,,
65,1914,9,45%,4,0.103,24,0.097,8,0.09,12,0.071,5,0.055,,,,
66,1915,3,24%,6,0.221,22,0.117,5,0.053,24,0.05,,,,,,
67,1917,19,70%,17,0.061,,,,,,,,,,,,
68,1918,4,76%,,,,,,,,,,,,,,
69,1919.2,12,32%,8,0.11,5,0.107,21,0.091,9,0.081,22,0.073,4,0.053,,
70,1919.3,22,46%,24,0.22,19,0.076,8,0.058,9,0.057,,,,,,
71,1919,15,75%,12,0.055,22,0.055,,,,,,,,,,
72,1922,13,16%,22,0.142,4,0.128,14,0.109,5,0.094,7,0.061,23,0.054,,
