docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,
1,C:\Users\catha\Desktop\Final Project\cookbook_text\1803 (2).txt,9,39%,12,0.357,7,0.219,,,,,,,,,,
2,C:\Users\catha\Desktop\Final Project\cookbook_text\1803.txt,8,62%,15,0.142,7,0.096,,,,,,,,,,
3,C:\Users\catha\Desktop\Final Project\cookbook_text\1805.txt,9,39%,12,0.253,7,0.206,5,0.067,,,,,,,,
4,C:\Users\catha\Desktop\Final Project\cookbook_text\1808.txt,12,44%,9,0.258,7,0.119,5,0.07,,,,,,,,
5,C:\Users\catha\Desktop\Final Project\cookbook_text\1827.txt,1,31%,5,0.301,9,0.174,6,0.077,,,,,,,,
6,C:\Users\catha\Desktop\Final Project\cookbook_text\1830.txt,5,23%,1,0.206,12,0.178,6,0.136,9,0.074,,,,,,
7,C:\Users\catha\Desktop\Final Project\cookbook_text\1831.txt,12,33%,5,0.267,9,0.153,7,0.054,6,0.051,,,,,,
8,C:\Users\catha\Desktop\Final Project\cookbook_text\1832 (2).txt,12,50%,5,0.201,9,0.178,,,,,,,,,,
9,C:\Users\catha\Desktop\Final Project\cookbook_text\1832.txt,9,30%,12,0.299,7,0.294,5,0.058,,,,,,,,
10,C:\Users\catha\Desktop\Final Project\cookbook_text\1838.txt,12,44%,9,0.228,7,0.173,5,0.078,,,,,,,,
11,C:\Users\catha\Desktop\Final Project\cookbook_text\1839.txt,12,23%,6,0.215,9,0.158,1,0.124,5,0.119,7,0.064,,,,
12,C:\Users\catha\Desktop\Final Project\cookbook_text\1840.txt,12,42%,9,0.213,5,0.184,7,0.072,16,0.069,,,,,,
13,C:\Users\catha\Desktop\Final Project\cookbook_text\1845.txt,12,35%,5,0.277,9,0.096,18,0.06,,,,,,,,
14,C:\Users\catha\Desktop\Final Project\cookbook_text\1846.txt,6,90%,1,0.087,,,,,,,,,,,,
15,C:\Users\catha\Desktop\Final Project\cookbook_text\1847.txt,5,27%,12,0.257,9,0.2,16,0.149,,,,,,,,
16,C:\Users\catha\Desktop\Final Project\cookbook_text\1848.txt,9,24%,12,0.223,1,0.215,7,0.132,6,0.065,,,,,,
17,C:\Users\catha\Desktop\Final Project\cookbook_text\1850.txt,12,27%,1,0.153,5,0.146,6,0.121,11,0.066,3,0.057,,,,
18,C:\Users\catha\Desktop\Final Project\cookbook_text\1852.txt,12,26%,9,0.249,7,0.212,5,0.074,3,0.07,,,,,,
19,C:\Users\catha\Desktop\Final Project\cookbook_text\1857 (2).txt,7,26%,9,0.236,12,0.142,5,0.102,1,0.05,,,,,,
20,C:\Users\catha\Desktop\Final Project\cookbook_text\1857.txt,12,49%,7,0.15,9,0.131,5,0.1,,,,,,,,
21,C:\Users\catha\Desktop\Final Project\cookbook_text\1864 (2).txt,5,31%,9,0.251,12,0.151,4,0.082,6,0.053,,,,,,
22,C:\Users\catha\Desktop\Final Project\cookbook_text\1864.txt,18,50%,5,0.222,1,0.089,6,0.076,,,,,,,,
23,C:\Users\catha\Desktop\Final Project\cookbook_text\1867.txt,19,70%,1,0.085,6,0.08,,,,,,,,,,
24,C:\Users\catha\Desktop\Final Project\cookbook_text\1868.txt,7,66%,10,0.074,15,0.064,,,,,,,,,,
25,C:\Users\catha\Desktop\Final Project\cookbook_text\1869 (2).txt,12,45%,5,0.31,,,,,,,,,,,,
26,C:\Users\catha\Desktop\Final Project\cookbook_text\1869.txt,1,54%,6,0.235,5,0.084,19,0.053,,,,,,,,
27,C:\Users\catha\Desktop\Final Project\cookbook_text\1870.txt,12,37%,5,0.123,7,0.115,9,0.089,16,0.07,,,,,,
28,C:\Users\catha\Desktop\Final Project\cookbook_text\1873 (2).txt,12,44%,11,0.14,2,0.135,17,0.08,5,0.074,,,,,,
29,C:\Users\catha\Desktop\Final Project\cookbook_text\1873.txt,12,25%,16,0.112,11,0.095,10,0.084,3,0.08,5,0.077,17,0.076,1,0.063
30,C:\Users\catha\Desktop\Final Project\cookbook_text\1875.txt,12,16%,17,0.141,1,0.14,3,0.118,16,0.072,9,0.056,6,0.054,5,0.053
31,C:\Users\catha\Desktop\Final Project\cookbook_text\1877 (2).txt,12,45%,2,0.128,11,0.11,5,0.069,16,0.061,,,,,,
32,C:\Users\catha\Desktop\Final Project\cookbook_text\1877 (3).txt,3,16%,10,0.145,7,0.132,12,0.115,15,0.072,,,,,,
33,C:\Users\catha\Desktop\Final Project\cookbook_text\1877.txt,5,26%,12,0.194,16,0.111,10,0.07,11,0.062,2,0.056,17,0.055,,
34,C:\Users\catha\Desktop\Final Project\cookbook_text\1881.txt,12,54%,17,0.094,10,0.086,11,0.062,,,,,,,,
35,C:\Users\catha\Desktop\Final Project\cookbook_text\1882.txt,3,23%,11,0.19,12,0.159,10,0.158,7,0.132,,,,,,
36,C:\Users\catha\Desktop\Final Project\cookbook_text\1884.txt,3,28%,20,0.144,10,0.128,12,0.065,11,0.059,7,0.057,5,0.054,,
37,C:\Users\catha\Desktop\Final Project\cookbook_text\1885 (2).txt,10,24%,16,0.148,13,0.127,7,0.106,5,0.079,12,0.079,3,0.066,,
38,C:\Users\catha\Desktop\Final Project\cookbook_text\1885.txt,12,44%,7,0.111,17,0.092,11,0.087,16,0.078,10,0.051,,,,
39,C:\Users\catha\Desktop\Final Project\cookbook_text\1886.txt,2,56%,11,0.274,12,0.135,,,,,,,,,,
40,C:\Users\catha\Desktop\Final Project\cookbook_text\1887.txt,11,39%,16,0.225,12,0.174,10,0.105,5,0.078,,,,,,
41,C:\Users\catha\Desktop\Final Project\cookbook_text\1889.txt,17,39%,12,0.269,11,0.077,16,0.055,10,0.055,5,0.05,,,,
42,C:\Users\catha\Desktop\Final Project\cookbook_text\1890.txt,3,25%,20,0.238,6,0.14,1,0.094,,,,,,,,
43,C:\Users\catha\Desktop\Final Project\cookbook_text\1892.txt,20,60%,6,0.067,10,0.064,5,0.063,,,,,,,,
44,C:\Users\catha\Desktop\Final Project\cookbook_text\1893.txt,2,42%,12,0.174,14,0.125,17,0.074,11,0.053,,,,,,
45,C:\Users\catha\Desktop\Final Project\cookbook_text\1894.txt,15,73%,7,0.099,,,,,,,,,,,,
46,C:\Users\catha\Desktop\Final Project\cookbook_text\1896 (2).txt,14,34%,3,0.331,20,0.074,17,0.053,,,,,,,,
47,C:\Users\catha\Desktop\Final Project\cookbook_text\1896 (3).txt,12,31%,13,0.218,7,0.201,17,0.151,,,,,,,,
48,C:\Users\catha\Desktop\Final Project\cookbook_text\1896.txt,13,24%,12,0.14,5,0.117,10,0.11,20,0.105,7,0.088,16,0.057,,
49,C:\Users\catha\Desktop\Final Project\cookbook_text\1897.txt,12,33%,7,0.152,5,0.087,17,0.082,13,0.079,10,0.053,14,0.052,,
50,C:\Users\catha\Desktop\Final Project\cookbook_text\1901.txt,14,43%,17,0.287,3,0.12,12,0.057,,,,,,,,
51,C:\Users\catha\Desktop\Final Project\cookbook_text\1902 (2).txt,7,31%,12,0.176,17,0.135,8,0.129,13,0.057,,,,,,
52,C:\Users\catha\Desktop\Final Project\cookbook_text\1902.txt,10,40%,3,0.115,20,0.111,7,0.101,14,0.064,17,0.056,,,,
53,C:\Users\catha\Desktop\Final Project\cookbook_text\1903.txt,18,31%,15,0.236,8,0.093,12,0.085,10,0.065,,,,,,
54,C:\Users\catha\Desktop\Final Project\cookbook_text\1904 (2).txt,3,36%,20,0.226,14,0.224,6,0.064,,,,,,,,
55,C:\Users\catha\Desktop\Final Project\cookbook_text\1904.txt,12,42%,14,0.241,17,0.168,2,0.064,,,,,,,,
56,C:\Users\catha\Desktop\Final Project\cookbook_text\1905.txt,14,51%,12,0.168,17,0.131,2,0.088,,,,,,,,
57,C:\Users\catha\Desktop\Final Project\cookbook_text\1909 (2).txt,14,43%,12,0.14,17,0.135,3,0.071,,,,,,,,
58,C:\Users\catha\Desktop\Final Project\cookbook_text\1909 (3).txt,14,33%,2,0.158,12,0.117,17,0.114,,,,,,,,
59,C:\Users\catha\Desktop\Final Project\cookbook_text\1909.txt,14,41%,11,0.225,17,0.115,,,,,,,,,,
60,C:\Users\catha\Desktop\Final Project\cookbook_text\1911 (2).txt,14,37%,12,0.16,17,0.136,7,0.097,11,0.067,,,,,,
